name,category,website,free_plan,starting_price,rating,features_count
Kashoo,accounting,https://www.kashoo.com,false,30,4.1,15
Bench,accounting,https://bench.co,false,189,4.5,15
FreeAgent,accounting,https://www.freeagent.com,false,19,4.2,15
Bonsai,accounting,https://www.hellobonsai.com,false,9,4.3,15
Harvest,accounting,https://www.getharvest.com,true,0,4.3,15
Akaunting,accounting,https://akaunting.com,true,0,4.2,15
Manager.io,accounting,https://www.manager.io,true,0,4.3,15
Hurdlr,accounting,https://www.hurdlr.com,true,0,4.1,15
Patriot Software,accounting,https://www.patriotsoftware.com,false,20,4.6,15
Zoom,video-conferencing,https://zoom.com,true,0,4.5,34
Google Meet,video-conferencing,https://meet.google.com,true,0,4.6,15
Microsoft Teams,video-conferencing,https://www.microsoft.com/microsoft-teams,true,0,4.3,15
Whereby,video-conferencing,https://whereby.com,true,0,4.6,16
Loom,video-conferencing,https://www.loom.com,true,0,4.7,15
Webex by Cisco,video-conferencing,https://www.webex.com,true,0,4.3,36
GoTo Meeting,video-conferencing,https://www.goto.com/meeting,false,12,4.2,15
Around,video-conferencing,https://www.around.co,true,0,4.4,15
Livestorm,video-conferencing,https://livestorm.co,true,0,4.3,15
Jitsi Meet,video-conferencing,https://jitsi.org,true,0,4.3,15
Riverside.fm,video-conferencing,https://riverside.com,true,0,4.8,15
Daily,video-conferencing,https://www.daily.co,true,0,4.7,15
Vowel,video-conferencing,https://www.vowel.com,true,0,4.5,15
Cal.com (Cal Video),video-conferencing,https://cal.com,true,0,4.7,15
Butter,video-conferencing,https://butter.us,true,0,4.7,15
Dialpad,video-conferencing,https://www.dialpad.com,false,27,4.4,15
Slack,video-conferencing,https://slack.com,true,0,4.5,15
RingCentral,video-conferencing,https://www.ringcentral.com,false,30,4.1,15
SugarCRM,crm,https://www.sugarcrm.com,false,19,3.8,15
Zendesk Sell,crm,https://www.zendesk.com/sell/,false,25,4.2,15
HostGator,cloud-hosting,https://www.hostgator.com,false,3.75,3.5,15
HubSpot CMS,website-builders,https://www.hubspot.com/products/cms,true,0,4.5,15
Tilda,website-builders,https://tilda.cc,true,0,4.6,15
ClickFunnels,website-builders,https://www.clickfunnels.com,false,81,4,15
Mailjet,email-marketing,https://www.mailjet.com,true,0,4,15
Twilio SendGrid,email-marketing,https://sendgrid.com,true,0,4,15
Demio,video-conferencing,https://demio.com,false,45,4.4,15
GIMP,design-tools,https://www.gimp.org,true,0,4.3,15
CorelDRAW,design-tools,https://www.coreldraw.com,false,399,4.3,15
ChatGPT,llm,https://chatgpt.com,true,0,4.7,15
Claude,llm,https://claude.ai,true,0,4.6,8
Google Gemini,llm,https://gemini.google.com,true,0,4.3,8
Jasper,ai-writing,https://www.jasper.ai,false,39,4.7,28
Copy.ai,ai-writing,https://www.copy.ai,false,,4.7,8
Grammarly,ai-writing,https://www.grammarly.com,true,0,4.7,8
1Password,password-managers,https://1password.com,false,2.99,4.8,28
Bitwarden,password-managers,https://bitwarden.com,true,0,4.7,8
LastPass,password-managers,https://www.lastpass.com,true,0,4.4,24
Dashlane,password-managers,https://www.dashlane.com,true,0,4.5,8
NordPass,password-managers,https://nordpass.com,true,0,4.4,8
NordVPN,vpn,https://nordvpn.com,false,3.99,4.7,19
ExpressVPN,vpn,https://www.expressvpn.com,false,12.95,4.7,8
Surfshark,vpn,https://surfshark.com,false,2.49,4.5,21
ProtonVPN,vpn,https://protonvpn.com,true,0,4.5,8
CyberGhost,vpn,https://www.cyberghostvpn.com,false,12.99,4.3,8
Midjourney,ai-image,https://midjourney.com,false,10,4.4,14
DALL-E 3,ai-image,https://openai.com/dall-e-3,false,20,4.5,12
Stable Diffusion,ai-image,https://stability.ai,true,0,4.3,12
Adobe Firefly,ai-image,https://firefly.adobe.com,true,0,4.4,12
Leonardo AI,ai-image,https://leonardo.ai,true,0,4.5,12
Synthesia,ai-video,https://synthesia.io,true,0,4.7,12
HeyGen,ai-video,https://heygen.com,true,0,4.8,12
Runway,ai-video,https://runwayml.com,true,0,4.5,12
Pika,ai-video,https://pika.art,true,0,4.4,12
GitHub Copilot,ai-coding,https://github.com/features/copilot,true,0,4.5,16
Cursor,ai-coding,https://cursor.com,true,0,4.7,12
Codeium,ai-coding,https://windsurf.com,true,0,4.6,12
ElevenLabs,ai-voice,https://elevenlabs.io,true,0,4.7,12
Murf AI,ai-voice,https://murf.ai,true,0,4.7,12
Play.ht,ai-voice,https://play.ht,true,0,4.5,12
n8n,ai-agents,https://n8n.io,true,0,4.7,12
Make (Integromat),ai-agents,https://make.com,true,0,4.7,12
Perplexity AI,ai-productivity,https://perplexity.ai,true,0,4.6,12
OpenAI API,llm,https://platform.openai.com,false,0,4.7,12
Hugging Face,llm,https://huggingface.co,true,0,4.6,12
Replicate,llm,https://replicate.com,true,0,4.5,12
Writesonic,ai-writing,https://writesonic.com,true,0,4.7,12
Notion AI,ai-productivity,https://notion.so/product/ai,false,10,4.6,12
Rytr,ai-writing,https://rytr.me,true,0,4.7,12
Wordtune,ai-writing,https://wordtune.com,true,0,4.6,12
QuillBot,ai-writing,https://quillbot.com,true,0,4.6,12
Sudowrite,ai-writing,https://sudowrite.com,false,10,4.5,12
ProWritingAid,ai-writing,https://prowritingaid.com,true,0,4.5,12
Copysmith,ai-writing,https://copysmith.ai,false,19,4.4,12
AI21 Studio,ai-writing,https://studio.ai21.com,true,0,4.4,12
Canva AI,ai-image,https://canva.com/ai-image-generator,true,0,4.7,12
Ideogram,ai-image,https://ideogram.ai,true,0,4.5,12
Kling AI,ai-image,https://kling.ai,true,0,4.6,12
Luma AI (Dream Machine),ai-image,https://lumalabs.ai,true,0,4.5,8
Topaz Labs AI,ai-image,https://topazlabs.com,false,199,4.7,12
Luminar Neo,ai-image,https://skylum.com/luminar-neo,false,14,4.5,12
Remove.bg,ai-image,https://remove.bg,true,0,4.7,12
Tabnine,ai-coding,https://tabnine.com,true,0,4.1,12
Replit AI,ai-coding,https://replit.com/ai,true,0,4.4,12
Bolt.new,ai-coding,https://bolt.new,true,0,4.6,12
v0 by Vercel,ai-coding,https://v0.app,true,0,4.6,12
Windsurf (Codeium),ai-coding,https://codeium.com/windsurf,true,0,4.7,12
Phind,ai-coding,https://phind.com,true,0,4.5,12
Zapier AI,ai-agents,https://zapier.com/ai,true,0,4.5,12
Character.AI,ai-assistants,https://character.ai,true,0,4.3,12
Anthropic API (Claude),llm,https://anthropic.com/api,false,0,4.7,12
Google AI Studio,llm,https://aistudio.google.com,true,0,4.5,12
Microsoft Copilot,ai-assistants,https://copilot.microsoft.com,true,0,4.5,12
Cohere,llm,https://cohere.com,true,0,4.5,12
Mistral AI,llm,https://mistral.ai,false,0,4.5,12
You.com,ai-productivity,https://you.com,true,0,4.4,12
Consensus,ai-productivity,https://consensus.app,true,0,4.6,12
Elicit,ai-productivity,https://elicit.com,true,0,4.5,12
Suno,ai-voice,https://suno.com,true,0,4.6,12
Udio,ai-voice,https://udio.com,true,0,4.5,12
Adobe Podcast (Enhance),ai-voice,https://podcast.adobe.com,true,0,4.6,12
Otter.ai,ai-productivity,https://otter.ai,true,0,4.2,12
Fireflies.ai,ai-productivity,https://fireflies.ai,true,0,4.7,12
Mem AI,ai-productivity,https://mem.ai,true,0,4.4,12
Beautiful.ai,ai-productivity,https://beautiful.ai,false,12,4.4,12
Gamma,ai-productivity,https://gamma.app,true,0,4.7,12
Tome,ai-productivity,https://tome.app,true,0,4.5,12
Descript,ai-video,https://descript.com,true,0,4.6,12
CapCut AI,ai-video,https://capcut.com,true,0,4.6,12
vidIQ AI,ai-video,https://vidiq.com,true,0,4.5,12
InVideo AI,ai-video,https://invideo.io,true,0,4.5,12
Obviously AI,ai-productivity,https://zams.com,false,50,4.6,12
DataRobot,ai-productivity,https://datarobot.com,true,0,4.3,12
Grok,llm,https://x.ai/grok,true,0,4.3,8
DeepSeek,llm,https://www.deepseek.com,true,0,4.5,8
Meta AI,llm,https://www.meta.ai,true,0,4.2,8
Llama (Meta),llm,https://www.llama.com,true,0,4.6,8
Gemini Advanced,llm,https://gemini.google.com/advanced,false,19.99,4.5,8
GPT-4o,llm,https://openai.com/gpt-4o,true,0,4.7,20
Claude 3.5 Sonnet,llm,https://claude.ai,true,0,4.7,20
Gemini 1.5 Pro,llm,https://gemini.google.com,true,0,4.5,20
DeepSeek V3,llm,https://deepseek.com,true,0,4.4,20
Llama 3.1,llm,https://www.llama.com,true,0,4.3,20
Mistral Large,llm,https://mistral.ai,true,0,4.3,20
Grok 2,llm,https://x.ai/grok,true,0,4.2,20
OpenAI o1,llm,https://openai.com/o1,false,20,4.6,20
Command R+,llm,https://cohere.com,true,0,4.3,20
Phi-3,llm,https://azure.microsoft.com/products/phi,true,0,4,20
AutoGPT,ai-agents,https://agpt.co,true,0,3.8,20
CrewAI,ai-agents,https://crewai.com,true,0,4.2,20
Devin,ai-agents,https://devin.ai,false,20,4,20
OpenAI Agents SDK,ai-agents,https://openai.com/agents,true,0,4.4,20
Relevance AI,ai-agents,https://relevanceai.com,true,0,4.5,20
Intercom Fin,ai-assistants,https://intercom.com/fin,false,39,4.5,20
Tidio,ai-assistants,https://tidio.com,true,0,4.7,20
Chatbase,ai-assistants,https://chatbase.co,true,0,4.4,20
Botpress,ai-assistants,https://botpress.com,true,0,4.6,20
Voiceflow,ai-assistants,https://voiceflow.com,true,0,4.5,20
Windsurf,ai-coding,https://codeium.com/windsurf,true,0,4.6,20
Surfer SEO,ai-writing,https://surferseo.com,false,99,4.8,20
Flux,ai-image,https://blackforestlabs.ai,true,0,4.5,20
Sora,ai-video,https://openai.com/sora,false,20,4.3,20
Speechify,ai-voice,https://speechify.com,true,0,4.7,20
3Commas,crypto-trading-bots,https://3commas.io,true,0,4.3,12
Cryptohopper,crypto-trading-bots,https://www.cryptohopper.com,true,0,4,12
Pionex,crypto-trading-bots,https://www.pionex.com,true,0,4.3,12
Bitsgap,crypto-trading-bots,https://bitsgap.com,true,0,4.2,12
Cornix,crypto-trading-bots,https://www.cornix.io,true,0,4.1,12
TradeSanta,crypto-trading-bots,https://tradesanta.com,true,0,3.9,12
WunderTrading,crypto-trading-bots,https://wundertrading.com,true,0,4,12
Altrady,crypto-trading-bots,https://altrady.com,true,0,4.2,12
CoinGlass,crypto-analytics,https://www.coinglass.com,true,0,4.4,11
Glassnode,crypto-analytics,https://glassnode.com,true,0,4.5,12
Nansen,crypto-analytics,https://www.nansen.ai,false,150,4.5,12
Santiment,crypto-analytics,https://santiment.net,true,0,4,12
Messari,crypto-analytics,https://messari.io,true,0,4.3,12
Dune Analytics,crypto-analytics,https://dune.com,true,0,4.6,12
Token Terminal,crypto-analytics,https://tokenterminal.com,true,0,4.2,12
IntoTheBlock,crypto-analytics,https://www.intotheblock.com,true,0,4,12
Koinly,crypto-tax,https://koinly.io,true,0,4.3,12
CoinTracker,crypto-tax,https://www.cointracker.io,true,0,4.1,12
TokenTax,crypto-tax,https://tokentax.co,false,49,4,12
ZenLedger,crypto-tax,https://www.zenledger.io,true,0,4,12
CoinLedger,crypto-tax,https://coinledger.io,true,0,4.2,12
Accointing (Blockpit),crypto-tax,https://www.blockpit.io,true,0,4.1,12
CoinStats,crypto-portfolio-trackers,https://coinstats.app,true,0,4.4,12
Delta,crypto-portfolio-trackers,https://delta.app,true,0,4.2,12
Zerion,crypto-portfolio-trackers,https://zerion.io,true,0,4.5,12
DeBank,crypto-portfolio-trackers,https://debank.com,true,0,4.6,12
CoinGecko,crypto-portfolio-trackers,https://www.coingecko.com,true,0,4.7,12
1inch,defi-tools,https://1inch.io,true,0,4.3,11
Jupiter,defi-tools,https://jup.ag,true,0,4.6,12
ParaSwap,defi-tools,https://www.paraswap.io,true,0,4,12
Zapper,defi-tools,https://zapper.xyz,true,0,4.2,11
DefiLlama,defi-tools,https://defillama.com,true,0,4.7,12
Binance,crypto-exchanges,https://www.binance.com,true,0,4.4,12
Coinbase,crypto-exchanges,https://www.coinbase.com,true,0,4.1,12
Kraken,crypto-exchanges,https://www.kraken.com,true,0,4.3,12
Bybit,crypto-exchanges,https://www.bybit.com,true,0,4.2,12
OKX,crypto-exchanges,https://www.okx.com,true,0,4.1,12
KuCoin,crypto-exchanges,https://www.kucoin.com,true,0,4,12
Gate.io,crypto-exchanges,https://www.gate.io,true,0,3.9,12
Bitget,crypto-exchanges,https://www.bitget.com,true,0,4.1,12
Maestro,crypto-telegram-bots,https://www.maestrobots.com,true,0,4.1,12
Banana Gun,crypto-telegram-bots,https://bananagun.io,true,0,4.3,12
BONKbot,crypto-telegram-bots,https://bonkbot.io,true,0,4,12
Trojan,crypto-telegram-bots,https://trojan.app,true,0,4.2,12
Photon,crypto-telegram-bots,https://photon-sol.tinyastro.io,true,0,4.4,12
BullX,crypto-telegram-bots,https://bullx.io,true,0,4.1,12
Bloom,crypto-telegram-bots,https://bloombot.app,true,0,4.2,12
PepeBoost,crypto-telegram-bots,https://pepeboost.io,true,0,4,12
MetaMask,crypto-wallets,https://metamask.io,true,0,4.3,12
Phantom,crypto-wallets,https://phantom.app,true,0,4.6,11
Trust Wallet,crypto-wallets,https://trustwallet.com,true,0,4.2,11
Ledger,crypto-wallets,https://www.ledger.com,false,79,4.4,12
Trezor,crypto-wallets,https://trezor.io,false,79,4.3,12
Exodus,crypto-wallets,https://www.exodus.com,true,0,4.3,12
Rabby Wallet,crypto-wallets,https://rabby.io,true,0,4.4,12
Coinbase Wallet,crypto-wallets,https://www.coinbase.com/wallet,true,0,4.1,12
Uniswap,dex,https://app.uniswap.org,true,0,,12
PancakeSwap,dex,https://pancakeswap.finance,true,0,,11
Raydium,dex,https://raydium.io,true,0,,11
Orca,dex,https://www.orca.so,true,0,,11
Curve Finance,dex,https://curve.fi,true,0,,11
SushiSwap,dex,https://www.sushi.com,true,0,,11
dYdX,dex,https://dydx.exchange,true,0,,11
Trader Joe,dex,https://traderjoexyz.com,true,0,,11
SafePal,crypto-wallets,https://www.safepal.com,true,0,,12
Tangem,crypto-wallets,https://tangem.com,false,54.99,,12
Keystone,crypto-wallets,https://keyst.one,false,99,,12
